Name,City,State
James H Faulkner State Community College,Bay Minette,AL
George C Wallace State Community College-Hanceville,Hanceville,AL
Herzing University-Birmingham,Birmingham,AL
Northeast Alabama Community College,Rainsville,AL
Shelton State Community College,Tuscaloosa,AL
Everest College-Gardena,Gardena,CA
Ohlone College,Fremont,CA
University of the Pacific,Stockton,CA
Paris Beauty College,Concord,CA
Tom P Haney Technical Center,Panama City,FL
Westside Tech,Winter Garden,FL
Withlacoochee Technical Institute,Inverness,FL
Atlanta Technical College,Atlanta,GA
Atlanta Metropolitan State College,Atlanta,GA
Bainbridge State College,Bainbridge,GA
Bauder College,Atlanta,GA
Brenau University,Gainesville,GA
La James College of Hairstyling and Cosmetology,Mason City,IA
La James International College-Ft Dodge,Fort Dodge,IA
La James International College-Iowa City,Iowa City,IA
Simpson College,Indianola,IA
Waldorf College,Forest City,IA
Cowley County Community College,Arkansas City,KS
Flint Hills Technical College,Emporia,KS
Kaplan Career Institute-Charlestown,Charlestown,MA
Saint John's Seminary,Brighton,MA
Western New England University,Springfield,MA
Wheaton College,Norton,MA
Wheelock College,Boston,MA
Baker College of Flint,Flint,MI
Bay de Noc Community College,Escanaba,MI
Bayshire Academy of Beauty Craft Inc,Bay City,MI
Cranbrook Academy of Art,Bloomfield Hills,MI
Wayne State College,Wayne,NE
Regional West Medical Center School of Radiologic Technology,Scottsbluff,NE
Western Nebraska Community College,Scottsbluff,NE
Nevada System of Higher Education-System Office,Reno,NV
Michaels School of Hair Design and Esthetics-Paul Mitchell Partner School,Bedford,NH
SUNY College at Brockport,Brockport,NY
Buffalo State SUNY,Buffalo,NY
SUNY College at Potsdam,Potsdam,NY
SUNY Downstate Medical Center,Brooklyn,NY
SUNY Empire State College,Saratoga Springs,NY
SUNY Maritime College,Throggs Neck,NY
Swedish Institute a College of Health Sciences,New York,NY
Sanford-Brown Institute-New York,New York,NY
Union College,Schenectady,NY
United States Merchant Marine Academy,Kings Point,NY
New Hope Christian College-Eugene,Eugene,OR
Phagans Grants Pass College of Beauty,Grants Pass,OR
Phagans School of Hair Design,Happy Valley,OR
Umpqua Community College,Roseburg,OR
Warner Pacific College,Portland,OR
Western Oregon University,Monmouth,OR
University of Western States,Portland,OR
Nashville College of Medical Careers,Madison,TN
Tennessee College of Applied Technology-Crossville,Crossville,TN
Tennessee College of Applied Technology-Knoxville,Knoxville,TN
Tennessee College of Applied Technology-Whiteville,Whiteville,TN
Southern Adventist University,Collegedale,TN
The University of Tennessee-Knoxville,Knoxville,TN
The University of Tennessee-Martin,Martin,TN
Fountainhead College of Technology,Knoxville,TN
Cabell County Career Technology Center,Huntington,WV
Charleston School of Beauty Culture,Charleston,WV
University of Charleston,Charleston,WV
Huntington Junior College,Huntington,WV
Fred W Eberle Technical Center,Buckhannon,WV
West Virginia School of Osteopathic Medicine,Lewisburg,WV
West Virginia University Hospital Departments of Rad Tech and Nutrition,Morgantown,WV
West Virginia Wesleyan College,Buckhannon,WV
West Virginia Business College-Wheeling,Wheeling,WV
International Beauty School 4,Martinsburg,WV
West Virginia Northern Community College,Wheeling,WV
Wheeling Jesuit University,Wheeling,WV
American Beauty Institute,McAlester,OK
Cloyd's Barber School 2 Inc,Monroe,LA
Universal Technical Institute of Illinois Inc,Glendale Heights,IL
InterCoast Colleges-Orange,Orange,CA
Northwest Technology Center-Alva,Alva,OK
Mercer County Career Center,Mercer,PA
Sharps Academy of Hair Styling,Grand Blanc,MI
Cobb Beauty College Inc,Kennesaw,GA
Durham Beauty Academy,Durham,NC
Union County Vocational Technical School,Scotch Plains,NJ
Prism Career Institute-Philadelphia,Philadelphia,PA
Washington Saratoga Warren Hamilton Essex BOCES-Practical Nursing Program,Saratoga Springs,NY
South Orange County Community College District,Mission Viejo,CA
CET-El Paso,El Paso,TX
David's Academy of Beauty,Pico Rivera,CA
Le Cordon Bleu College of Culinary Arts-Orlando,Orlando,FL
Paul Mitchell the School-Costa Mesa,Costa Mesa,CA
Tulsa Welding School-Jacksonville,Jacksonville,FL
ITT Technical Institute-Canton,Canton,MI
DeVry University-North Carolina,Charlotte,NC
Vatterott College-Cleveland,Broadview Heights,OH
Westwood College-Ft Worth,Fort Worth,TX
Edward Via College of Osteopathic Medicine,Blacksburg,VA
Pacific College of Oriental Medicine-Chicago,Chicago,IL
Pima Medical Institute-Albuquerque West,Albuquerque,NM
Brighton Center's Center for Employment Training,Newport,KY
Hood Theological Seminary,Salisbury,NC
Taylor College,Belleview,FL
Bais Medrash Toras Chesed,Lakewood,NJ
New Age Training,New York,NY
Northcoast Medical Training Academy,Kent,OH
American Institute of Medical Technology,Tulsa,OK
The Art Institute of Charleston,Charleston,SC
The Art Institute of California-Argosy University Sacramento,Sacramento,CA
Gadsden State Community College,Gadsden,AL
University of Mobile,Mobile,AL
Oakwood University,Huntsville,AL
Snead State Community College,Boaz,AL
Southeastern Bible College,Birmingham,AL
United States Sports Academy,Daphne,AL
Bevill State Community College,Jasper,AL
Monterey Institute of International Studies,Monterey,CA
Mount St Mary's College,Los Angeles,CA
Newschool of Architecture and Design,San Diego,CA
Newberry School of Beauty,Granada Hills,CA
Westwood College-South Bay,Torrance,CA
Benes International School of Beauty,New Port Richey,FL
Tallahassee Community College,Tallahassee,FL
Everest University-Largo,Largo,FL
Webber International University,Babson Park,FL
Andrew College,Cuthbert,GA
Atlanta's John Marshall Law School,Atlanta,GA
Berry College,Mount Berry,GA
Brown College of Court Reporting,Atlanta,GA
West Georgia Technical College,Waco,GA
Columbia Theological Seminary,Decatur,GA
Dalton State College,Dalton,GA
Kirkwood Community College,Cedar Rapids,IA
Ashford University,Clinton,IA
William Penn University,Oskaloosa,IA
Baker University,Baldwin City,KS
Central Baptist Theological Seminary,Shawnee,KS
Cloud County Community College,Concordia,KS
Donnelly College,Kansas City,KS
Bard College at Simon's Rock,Great Barrington,MA
Adrian College,Adrian,MI
Davenport University,Grand Rapids,MI
Michigan State University-College of Law,East Lansing,MI
Midland University,Fremont,NE
University of Nebraska at Omaha,Omaha,NE
University of Nebraska Medical Center,Omaha,NE
University of Nebraska-Central Administration System Office,Lincoln,NE
University of Nevada-Las Vegas,Las Vegas,NV
Morrison University,Reno,NV
Truckee Meadows Community College,Reno,NV
Western Nevada College,Carson City,NV
College of St Mary Magdalen,Warner,NH
Morrisville State College,Morrisville,NY
SUNY Oneonta,Oneonta,NY
SUNY at Purchase College,Purchase,NY
Teachers College at Columbia University,New York,NY
Trocaire College,Buffalo,NY
United States Military Academy,West Point,NY
Webb Institute,Glen Cove,NY
Phagans School of Hair Design-Portland,Portland,OR
Lane Community College,Eugene,OR
Phagans Medford Beauty School,Medford,OR
Multnomah University,Portland,OR
Oregon Institute of Technology,Klamath Falls,OR
University of Portland,Portland,OR
Rogue Community College,Grants Pass,OR
College of Cosmetology,Klamath Falls,OR
Everest College-Portland,Portland,OR
Jolie Hair and Beauty Academy-Hazleton,Hazleton,PA
Academy of Vocal Arts,Philadelphia,PA
Tennessee College of Applied Technology-Memphis,Memphis,TN
Tennessee College of Applied Technology-Murfreesboro,Murfreesboro,TN
